DEBUG:root:training
DEBUG:root:epoch 133, test error 10.688889 %
DEBUG:root:epoch 134, test error 10.711111 %
DEBUG:root:epoch 135, test error 10.566667 %
DEBUG:root:epoch 136, test error 10.650000 %
DEBUG:root:epoch 137, test error 10.694444 %
DEBUG:root:epoch 138, test error 10.627778 %
DEBUG:root:epoch 139, test error 10.677778 %
DEBUG:root:epoch 140, test error 10.661111 %
DEBUG:root:epoch 141, test error 10.683333 %
DEBUG:root:epoch 142, test error 10.577778 %
DEBUG:root:epoch 143, test error 10.461111 %
DEBUG:root:epoch 144, test error 10.688889 %
DEBUG:root:epoch 145, test error 10.472222 %
DEBUG:root:epoch 146, test error 10.566667 %
DEBUG:root:epoch 147, test error 10.900000 %
DEBUG:root:epoch 148, test error 10.644444 %
DEBUG:root:epoch 149, test error 10.605556 %
DEBUG:root:epoch 150, test error 10.788889 %
DEBUG:root:epoch 151, test error 10.677778 %
DEBUG:root:epoch 152, test error 10.605556 %
DEBUG:root:epoch 153, test error 10.711111 %
DEBUG:root:epoch 154, test error 10.594444 %
DEBUG:root:epoch 155, test error 10.622222 %
DEBUG:root:epoch 156, test error 10.572222 %
DEBUG:root:epoch 157, test error 10.661111 %
DEBUG:root:epoch 158, test error 10.650000 %
DEBUG:root:epoch 159, test error 10.594444 %
DEBUG:root:epoch 160, test error 10.494444 %
DEBUG:root:epoch 161, test error 10.583333 %
DEBUG:root:epoch 162, test error 10.616667 %
DEBUG:root:epoch 163, test error 10.666667 %
DEBUG:root:epoch 164, test error 10.655556 %
DEBUG:root:epoch 165, test error 10.650000 %
DEBUG:root:epoch 166, test error 10.677778 %
DEBUG:root:epoch 167, test error 10.505556 %
DEBUG:root:epoch 168, test error 10.411111 %
DEBUG:root:epoch 169, test error 10.594444 %
DEBUG:root:epoch 170, test error 10.694444 %
DEBUG:root:epoch 171, test error 10.550000 %
DEBUG:root:epoch 172, test error 10.522222 %
DEBUG:root:epoch 173, test error 10.505556 %
DEBUG:root:epoch 174, test error 10.777778 %
DEBUG:root:epoch 175, test error 10.561111 %
DEBUG:root:epoch 176, test error 10.444444 %
DEBUG:root:epoch 177, test error 10.400000 %
DEBUG:root:epoch 178, test error 10.677778 %
DEBUG:root:epoch 179, test error 10.644444 %
DEBUG:root:epoch 180, test error 10.588889 %
DEBUG:root:epoch 181, test error 10.505556 %
DEBUG:root:epoch 182, test error 10.633333 %
DEBUG:root:epoch 183, test error 10.677778 %
DEBUG:root:epoch 184, test error 10.516667 %
DEBUG:root:epoch 185, test error 10.616667 %
DEBUG:root:epoch 186, test error 10.650000 %
DEBUG:root:epoch 187, test error 10.483333 %
DEBUG:root:epoch 188, test error 10.550000 %
DEBUG:root:epoch 189, test error 10.600000 %
DEBUG:root:epoch 190, test error 10.638889 %
DEBUG:root:epoch 191, test error 10.688889 %
DEBUG:root:epoch 192, test error 10.522222 %
DEBUG:root:epoch 193, test error 10.627778 %
DEBUG:root:epoch 194, test error 10.583333 %
DEBUG:root:epoch 195, test error 10.727778 %
DEBUG:root:epoch 196, test error 10.644444 %
DEBUG:root:epoch 197, test error 10.566667 %
DEBUG:root:epoch 198, test error 10.455556 %
DEBUG:root:epoch 199, test error 10.527778 %
DEBUG:root:epoch 200, test error 10.411111 %
DEBUG:root:epoch 201, test error 10.627778 %
DEBUG:root:epoch 202, test error 10.583333 %
DEBUG:root:epoch 203, test error 10.550000 %
DEBUG:root:epoch 204, test error 10.566667 %
DEBUG:root:epoch 205, test error 10.544444 %
DEBUG:root:epoch 206, test error 10.616667 %
DEBUG:root:epoch 207, test error 10.555556 %
DEBUG:root:epoch 208, test error 10.572222 %
DEBUG:root:epoch 209, test error 10.527778 %
DEBUG:root:epoch 210, test error 10.605556 %
DEBUG:root:epoch 211, test error 10.472222 %
DEBUG:root:epoch 212, test error 10.561111 %
DEBUG:root:epoch 213, test error 10.561111 %
DEBUG:root:epoch 214, test error 10.488889 %
DEBUG:root:epoch 215, test error 10.738889 %
DEBUG:root:epoch 216, test error 10.627778 %
DEBUG:root:epoch 217, test error 10.555556 %
DEBUG:root:epoch 218, test error 10.594444 %
DEBUG:root:epoch 219, test error 10.511111 %
DEBUG:root:epoch 220, test error 10.594444 %
DEBUG:root:epoch 221, test error 10.627778 %
DEBUG:root:epoch 222, test error 10.538889 %
DEBUG:root:epoch 223, test error 10.311111 %
DEBUG:root:epoch 224, test error 10.466667 %
DEBUG:root:epoch 225, test error 10.583333 %
DEBUG:root:epoch 226, test error 10.483333 %
DEBUG:root:epoch 227, test error 10.511111 %
DEBUG:root:epoch 228, test error 10.572222 %
DEBUG:root:epoch 229, test error 10.550000 %
DEBUG:root:epoch 230, test error 10.516667 %
DEBUG:root:epoch 231, test error 10.416667 %
DEBUG:root:epoch 232, test error 10.627778 %
DEBUG:root:epoch 233, test error 10.433333 %
DEBUG:root:epoch 234, test error 10.488889 %
DEBUG:root:epoch 235, test error 10.455556 %
DEBUG:root:epoch 236, test error 10.700000 %
DEBUG:root:epoch 237, test error 10.488889 %
DEBUG:root:epoch 238, test error 10.533333 %
DEBUG:root:epoch 239, test error 10.533333 %
DEBUG:root:epoch 240, test error 10.494444 %
DEBUG:root:epoch 241, test error 10.511111 %
DEBUG:root:epoch 242, test error 10.583333 %
DEBUG:root:epoch 243, test error 10.577778 %
DEBUG:root:epoch 244, test error 10.638889 %
DEBUG:root:epoch 245, test error 10.661111 %
DEBUG:root:epoch 246, test error 10.633333 %
DEBUG:root:epoch 247, test error 10.650000 %
DEBUG:root:epoch 248, test error 10.488889 %
DEBUG:root:epoch 249, test error 10.511111 %
DEBUG:root:epoch 250, test error 10.638889 %
DEBUG:root:epoch 251, test error 10.683333 %
DEBUG:root:epoch 252, test error 10.650000 %
