DEBUG:root:training
DEBUG:root:epoch 133, test error 6.566667 %
DEBUG:root:epoch 134, test error 6.488889 %
DEBUG:root:epoch 135, test error 6.377778 %
DEBUG:root:epoch 136, test error 6.344444 %
DEBUG:root:epoch 137, test error 6.633333 %
DEBUG:root:epoch 138, test error 6.266667 %
DEBUG:root:epoch 139, test error 6.422222 %
DEBUG:root:epoch 140, test error 6.583333 %
DEBUG:root:epoch 141, test error 6.505556 %
DEBUG:root:epoch 142, test error 6.316667 %
DEBUG:root:epoch 143, test error 6.483333 %
DEBUG:root:epoch 144, test error 6.372222 %
DEBUG:root:epoch 145, test error 6.238889 %
DEBUG:root:epoch 146, test error 6.355556 %
DEBUG:root:epoch 147, test error 6.522222 %
DEBUG:root:epoch 148, test error 6.611111 %
DEBUG:root:epoch 149, test error 6.455556 %
DEBUG:root:epoch 150, test error 6.194444 %
DEBUG:root:epoch 151, test error 6.283333 %
DEBUG:root:epoch 152, test error 6.427778 %
DEBUG:root:epoch 153, test error 6.422222 %
DEBUG:root:epoch 154, test error 6.477778 %
DEBUG:root:epoch 155, test error 6.488889 %
DEBUG:root:epoch 156, test error 6.311111 %
DEBUG:root:epoch 157, test error 6.172222 %
DEBUG:root:epoch 158, test error 6.577778 %
DEBUG:root:epoch 159, test error 6.311111 %
DEBUG:root:epoch 160, test error 6.216667 %
DEBUG:root:epoch 161, test error 6.211111 %
DEBUG:root:epoch 162, test error 6.361111 %
DEBUG:root:epoch 163, test error 6.555556 %
DEBUG:root:epoch 164, test error 6.344444 %
DEBUG:root:epoch 165, test error 6.405556 %
DEBUG:root:epoch 166, test error 6.194444 %
DEBUG:root:epoch 167, test error 6.300000 %
DEBUG:root:epoch 168, test error 6.305556 %
DEBUG:root:epoch 169, test error 6.477778 %
DEBUG:root:epoch 170, test error 6.483333 %
DEBUG:root:epoch 171, test error 6.272222 %
DEBUG:root:epoch 172, test error 6.561111 %
DEBUG:root:epoch 173, test error 6.500000 %
DEBUG:root:epoch 174, test error 6.611111 %
DEBUG:root:epoch 175, test error 6.366667 %
DEBUG:root:epoch 176, test error 6.338889 %
DEBUG:root:epoch 177, test error 6.277778 %
DEBUG:root:epoch 178, test error 6.383333 %
DEBUG:root:epoch 179, test error 6.444444 %
DEBUG:root:epoch 180, test error 6.233333 %
